Area,ImageCount,InFront,Location.__lat__,Location.__lon__,ArchStyle,Address,Popup,Name,ShortName,EstimatedValue,YearBuilt,SquareFeet,LotSize,Notes,Website
North Scituate,1,,42.219177699999996,-70.7864321,,400 Gannett Rd,,The Collective Co.,Shared,,,,,"<div style=""font-family:Georgia,Times,serif;font-weight:900;font-size:26px;text-align:center;""><span style=""color:sienna"">gather</span><br/>
<span style=""color:salmon"">connect</span><br/>
<span style=""color:darkslategray"">inspire</span></div><br/>
<div style=""font-family:Helvetica,sans-serif;font-weight:500;font-size:10px;text-align:center;letter-spacing:1rem;"">AN IN-PERSON AND ONLINE COMMUNITY CELEBRATING MEANINGFUL CONNECTION, LEARNING AND GROWTH.
</div><br/><br/>
<div style=""font-family:Helvetica,sans-serif;font-weight:900;font-size:17px;text-align:center;"">MORE THAN A SPACE<br/><br/><div style=""font-weight:500;font-size:10px;"">
The Collective Co. was built for you! Whether you are an entrepreneur, professional, creator or go-getter, balancing life and building your career, there's a seat at our table (literally and figuratively!). If you’re looking to mix up your work-from-home routine, need a more dedicated or distraction-free workspace or want to wow those clients with your professional office setup, we’re here for it. And if you’re ready to get connected with other like-minded people and want to redefine networking with us while feeling inspired along the way, The CC is just the place!
</div>
</div>
",http://www.theccsouthshore.com/
Cohasset,1,,42.2395679,-70.8010977,,85 S Main St,,Salty Days Fish Co.,Seafood,,,,,"<div style='text-align:left;'><strong>OUR STORY</strong><br/><br/>“We are 4 lifelong friends with 7 kids and 3 dogs who share one insatiable love for long salty days on the beach. Swimming, boating, fishing, driving on to Duxbury beach, playing cornhole, searching for seaglass……..we love it all.<br/><br/>On sunny days, and even not-so-sunny days, we’re up to our collective toes in sand, soaking up the salty air from sunrise to well past sunset. This joy we share for salty days defines who we are and why we opened our neighborhood fish market in the same name.<br/><br/>From cooking up the morning’s fresh catch, to celebrating special occasions with lobsters and raw bars, seafood has always been a common thread on these memorable days.<br/><br/>This is the origin of Salty Days Fish Co., Hingham’s first friends-owned, standalone fish market! We hope you’ll stop in and get a taste for who we are, what we offer, and why we believe “Salty Days are the Good Days”.",https://saltydaysfish.com/
North Scituate,1,,42.219068799999995,-70.7845956,,357 Gannett Rd,,US Post Office North Scituate,Post Office,,,,,"<div><strong>Hours</strong></div><br/>
<div style=""white-space:pre"">
Sunday&#9;Closed
Monday&#9;8:30AM-4:30PM
Tuesday&#9;8:30AM-4:30PM
Wednesday&#9;8:30AM-4:30PM
Thursday&#9;8:30AM-4:30PM
Friday&#9;&#9;8:30AM-4:30PM
Saturday&#9;8:30AM-12:30PM
</div>
",https://tools.usps.com/locations/details/1434655?utm_source=google-my-business-url
Hingham Square HM,1,,42.2424,-70.89078,Federal,164 North St,,Enoch Lincoln,Lincoln,Talbots,1789,0,0,"Built in 1784, and renovated and expanded later,, this former residence became the home of Talbot's first retail store in the 1950s. About first owner Enoch Lincoln: Born in Hingham, Massachsuetts on 1730 to Jedediah Lincoln and Bethia Whiton.<br/><br/>Enoch married Rachel Fearing and had 11 children. Enoch married Lydia Hobart.<br/><br/>He passed away on 1802 in Hingham, Massachusetts, USA.",https://www.talbots.com/stores/ma/hingham/164-north-street/00003.html
Hingham Square,1,,42.23745,-70.8895,,21 Emerald St,,Pyne Keohane Funeral Home,Funeral Home,,,,,"""Keohane is a family owned and operated group of funeral homes, with locations in Quincy (Pyne Keohane Funeral Home), and Weymouth (McDonald Keohane Funeral Home). With a deep connection to the community and a high standard for professionalism, Keohane continues to be the choice for funeral services, cremation, and advance planning. Here, you receive the personal attention and dedicated service you deserve, from a team of caring professionals.""",https://keohane.com/?utm_source=google
Cohasset,1,,42.2398616,-70.80096879999999,,1 Brook St,,Brook and Main,Children's,,,,,"<stronger>About Brook and Main</stronger><br/><br/>We created the concept of Brook and Main from the family room of our home in Cohasset after the birth of our second child. With deep gratitude for our community, this is our effort to make a contribution to the fiber of the local life that we love so much.<br/><br/>Like all parents we know, we work to keep our children happy, comfortably dressed, and engaged through play, while simultaneously trying to maintain a comfortable, attractive, and tidy home, both for our children and for ourselves. We rely on an array of goods to achieve this – and some days more successfully than others! We hope that the products we have selected to share via Brook and Main feel relevant to you, your children, and your home.<br/><br/>Here you will find a collection of apparel primarily sourced from independent and emerging brands for children age newborn – eight. To a significant extent, we have chosen to work with companies that are led by women, and emphasize global health and sustainability. We are also proud to offer a selection of toys grounded in open ended and imaginative play as well as gifts, books, and arts and crafts. For home and parents, we have chosen an array of ceramics, textiles, and accessories, among others. We hope to see you at Brook and Main.<br/><br/>Warmly,<br/>Julia Kenney",https://shopbrookandmain.com/
Cohasset,1,,42.2439719,-70.8147936,,202 N Main St,,Wheelwright Park,Park,,,,,"A <a href=""https://en.wikipedia.org/wiki/Moraine"" target=""_blank"">""Moraine""</a> is a large rock or clump of rocks that were carried along by a glacier or ice sheet. This specimen features an attractively bumpy, yet sphereoid shape, which is unusual.",https://www.nsrwa.org/listing/wheelwright-park/
Fearing Farm HM,1,,42.24475,-70.88649,Traditional,18 Cottage St,,Andrew Cobb,Cobb,"2,142,500",1871,3270,0.47,,https://www.zillow.com/homedetails/18-Cottage-St-Hingham-MA-02043/56639243_zpid/
Hingham Center,1,,42.2333788,-70.8797053,,9 Short St,,Elie's Auto Service,Car Service,,,,,"Since opening Elie’s Auto Service (then Hingham Global) on February 13, 2005, Elie has consistently focused on delivering outstanding customer service. Handling multiple positions in the same day (including mechanical repair, safety inspections, gas & managing the convenience store, with the help of course from his dedicated staff, effort is and remains the number #1 constant that brings customers back again and again. Although Elie’s main role and expertise is repair and inspections, his ability to break down specific car knowledge and honest work ethic combine to put worried car owners at ease to ensure any problem is properly diagnosed & handled with appropriate care.",http://eliesautoservicehingham.com/
Hingham Shipyard,1,,42.24951,-70.91568,,315 Lincoln St,,Dunkin',Dunkin,,,,,"<div><strong>Hours</strong></div><br/>
<div style=""white-space:pre"">
Sunday&#9;5 AM–8 PM
Monday&#9;5 AM–8 PM
Tuesday&#9;5 AM–8 PM
Wednesday&#9;5 AM–8 PM
Thursday&#9;5 AM–8 PM
Friday&#9;&#9;5 AM–8 PM
Saturday&#9;5 AM–8 PM
</div>
",https://locations.dunkindonuts.com/en/ma/hingham/315-lincoln-st/358223%3Futm_source%3Dgoogle%26utm_medium%3Dlocal%26utm_campaign%3Dlocalmaps%26utm_content%3D358223%26y_source%3D1_MTcxMDM1OTktNzE1LWxvY2F0aW9uLndlYnNpdGU%253D
Hingham Square HM,1,,42.24118,-70.89577,Queen Anne,172 South St,,Fred Hersey,Hersey,"1,954,400",1880,3703,0.28,,https://www.zillow.com/homedetails/172-South-St-Hingham-MA-02043/56639128_zpid/
Marshfield,1,,42.109,-70.696,,,,Marshfield MA,,,,,,,http://www.townofmarshfield.org/
Cohasset,1,,42.240491899999995,-70.80209529999999,,35 S Main St,,bia bistro,Italian,,,,,"Chef-Owner, Brian Houlihan, earned his Culinary Degree in Ireland before landing in Boston at a string of Top Establishments, including The Harvard Club, The Bostonian & The Four Seasons.<br/><br/>In 2003, Brian Houlihan took his talent from Boston to the suburbs with the opening of bia bistro in Cohasset Village.<br/><br/>Showcasing his appreciation of fresh, locally sourced ingredients, Houlihan and his menus have been earning accolades in Zagat Guide, Best of Boston and Best of South Shore since this cozy bistro’s inception 13 years ago.",http://www.biabistro.com/
Hingham Square HM,1,,42.24078,-70.89252,Colonial,124 South St,,Ebed Hersey (124),Hersey,"2,230,700",1840,3432,0.54,,https://www.zillow.com/homedetails/124-South-St-Hingham-MA-02043/56639279_zpid/
Hingham Shipyard,1,,42.2515797,-70.921573,,25 Shipyard Dr,,Patriot Cinemas,Cinema,,,,,Let's go to the movies!,http://www.patriotcinemas.com/
North Scituate,1,,42.2190747,-70.78485,,359 Gannett Rd,,Funtastics Gymnastics,Gymnastics,,,,,"<strong>A Little About Us</strong><br/><br/>Funtastics is a family-friendly gym focused on supporting the growth mindset and development of gymnasts and athletes alike. We offer recreational and competitive programs for kids in pre-school through age 18, including overall fitness conditioning, tumbling skills, and strength-building on various gymnastics apparatus.<br/><br/>At Funtastics, we have age-based classes but group within the class according to ability. Each class starts with gymnastic basics (handstands, cartwheels, bridges, balance) and builds from there, incorporating strengthening, flexibility, and skills used for competitive teams!",http://funtasticsma.com/
Hingham Shipyard,1,,42.252041399999996,-70.9227204,,18 Shipyard Dr,,The Beth Kitchen and Bar,Restaurant,,,,,"<div style=""text-align:center;""><span style=""font-weight:800;"">Whatever floats your boat</span><br/><br/>
The Beth Kitchen & Bar is a lively restaurant at the historic Hingham Shipyard with a coastal-inspired, spacious interior and scenic outdoor dining overlooking the water.<br/><br/>
Our name comes from the Bethlehem Hingham Shipyard, which operated on these same grounds nearly a century ago.<br/><br/>
It was one of the largest and most successful shipbuilding sites in the United States. This hardworking yard produced an impressive 227 ships in only three years and employed over 15,000 builders... 2,500 of which were women.<br/><br/>
The Beth honors this rich history and welcomes all for a warm and relaxed dining experience. Whether you're looking for a casual lunch, a quick drink after work, or a celebratory dinner with friends and family, The Beth is the perfect spot for all occasions.
</div>",http://thebethhingham.com/
Marshfield,1,,42.079,-70.709,,515 Moraine St,,Marshfield Country Club,,,,,,"<div style=""text-align:left;""><strong>About Us</strong><br/><br/>At Marshfield Country Club it has always been about golf - golf the way it’s meant to be played. We are an 18 Hole Par 70 private facility in Marshfield, Massachusetts. The course features 6,295 yards of golf from the back tees for a par of 70. The course rating from the back tees is 70.8 and a slope rating of 131 along with 73.4 and 128 from the forward tees.<br/><br/>The entire golf course was designed by Wayne E. Stiles. The first nine holes opened in 1922 and the second nine opened in 1931. Much of the original design remains the same today and, despite technological advances in golf equipment this relatively short course offers a formidable challenge to golfers of varying abilities.</div>",http://www.marshfieldcc.com/
Hingham Center HM,1,,42.23703,-70.88217,Colonial,215 Main St,,Waters Howard,Howard,"2,701,300",1835,4085,1.18,,https://www.zillow.com/homedetails/215-Main-St-Hingham-MA-02043/56639736_zpid/
Hingham Shipyard,14,,42.25002,-70.91549,,319 Lincoln St,,Avalon Residences,Apartments,,,,,"<div style=""text-align:center""><strong>Make Yourself at Home</strong><br/><br/>
We believe elevating where you live is about blending it seamlessly with how you live. We go to great lengths designing amenities and choosing locations that put everything within reach. Where you live, is where you come alive. In an area flourishing with convenience and possibility, Avalon Residences at the Hingham Shipyard offers modern kitchens with stainless steel appliances, quartz countertops hard surface flooring. Upgrade any home to Furnished+ and enjoy the convenience of turnkey living. Plus, our technology package, AvalonConnect, offers high-speed internet, digital resident services including the ability to submit service requests, and more. Our community also features Signature Collection homes, complete with upgraded appliances and finishes, along with exclusive service offerings for residents. Live your life effortlessly with amenities that include a 24/7 fitness center with virtual fitness technology, four specialty courtyards and a rooftop lounge with panoramic views. Our smoke-free and pet friendly community is located in the heart of Hingham, easily accessible to the Boston commuter ferry and shopping, dining and entertainment at the Launch at Hingham Shipyard. This is not just apartment living. This is living up.</div>",https://www.avaloncommunities.com/massachusetts/hingham-apartments/avalon-residences-at-the-hingham-shipyard?utm_source=gmb
Hingham Square,1,,42.24272,-70.88839,,102 North St,,fig. a,Boutique,,,,,"fig. a is a conscious lifestyle boutique. We offer a carefully curated collection of apparel, skincare, jewelry + accessories. We support brands and makers who create beautiful products with mindful practices.",https://www.fig-a.com/
Hingham Square HM,1,,42.24282,-70.89003,Colonial,149 North St,,Albert Fearing,Fearing,unknown,1640,0,0,"Albert Fearing, born in 1798-was the founder and first funder of the Hingham Public Library. Fearing's father, Hawkes Fearing, was the owner of the successful Hingham Cordage Company, located where Town Hall is today. Albert went into the maritime business, and made his fortune as a ship chandler in the port of Boston, selling all manner of ship supplies and fittings. In the 1850s he sold his business and retired to his Hingham home as a gentleman farmer. His house, built in 1640 and acquired by Fearing, later became St. Paul's Rectory, and his land extended north over the hill where Miles Road and Burditt Avenue are today, all the way to Broad Cove. Hence the origin of ""Fearing Road."" He was a philanthropist and co-founded the Hingham Agricultural and Horticultural Society, dedicated to scientific principles in farming. In the late 1860s, Albert Fearing came up with his idea for a public library for the town.",https://www.fastpeoplesearch.com/address/149-north-st_hingham-ma-02043?__cf_chl_tk=8DXwCo509xw3LUNvvWPolmGWhUpYD7tVbsYxd_PgsfQ-1736980721-1.0.1.1-F70aqCSwJPLqogPVyuldu_WD3LS4g8hur_quvFZQfX4
Marshfield,1,,42.08196,-70.651,,93 Careswell St,,Mamma Mia's,,,,,,"<div style=""text-align:left;""><strong>ABOUT MAMMA MIA’S</strong><br/><br/>In 1974, two brothers from Airola, Italy, Pasquale and Giovanni Viscariello, along with their wives Maria and Eugenia opened their first Italian restaurant in Kingston. They named it “Mamma Mia’s” in honor of their mother. Their children, Salvatore, Antonio, Gina and John, worked tirelessly beside them, assembling pizza boxes by the hundreds until they were tall enough to reach the counter.<br/><br/>With the success of the Viscariello brothers first two restaurants in Kingston and Plymouth Waterfront, and the ambition of the second generation, the family went on to open Carmela’s Italian Restaurant & Lounge, four other Mamma Mia’s locations, Mia’s Catering, and Two Brothers Wine. Together, the Viscariellos worked to provide customers with high quality authentic Italian cuisine in a family atmosphere.<br/><br/>Fast forward to today, and you’ll find Pasquale and Giovanni’s children and grandchildren hard at work throughout the restaurants including ThreeV, which stands for “third-generation Viscariello” and offers a contemporary take on American classics. A lot has changed since those early days in Kingston, but the family’s commitment to integrity, hard work and authentic Italian cuisine has remained the same. We thank you for visiting us.</div>",https://www.mammamias.net/
Hingham Harbor,1,,42.24563,-70.88236,,25 Summer St,,Hingham Car Wash,Car Wash,,,,,"<p><strong style=""text-align:center;"">HOURS OF OPERATION</strong></p>
<p style=""text-align:center;"">Sunday 8 AM–7 PM</p>
<p style=""text-align:center;"">Monday - Friday: 7 AM–7 PM</p>
<p style=""text-align:center;"">Saturday 8 AM–7 PM</p>
",
Fearing Farm HM,1,,42.24476,-70.88592,Italianate,10 Cottage St,,William Nelson,Nelson,"1,887,600",1863,3009,0.32,,https://www.zillow.com/homedetails/10-Cottage-St-Hingham-MA-02043/56639245_zpid/
Fearing Farm HM,1,,42.24559,-70.89563,Cape Cod,72 Lincoln St,,Charles Gill,Gill,"2,479,200",1690,4500,1.89,"Charles Gill was born in Hingham in 1784 to John Gill and Deborah Lincoln. He was a carpenter, married Mehitable Lewis (1786-1863) and had 9 children and died in 1858--also in Hingham.",https://www.zillow.com/homedetails/38-Cottage-St-Hingham-MA-02043/56639214_zpid/
Scituate,1,,42.1942,-70.7251,,80 Front St,,Jack Conway Scituate,Realtor,,,,,"Make yourself at home.<br/><br/>We believe that real estate should be a pleasure. Not a pressure. At Jack Conway, you’ll feel the difference immediately. We're the largest independently-owned real estate company in our region. So we’ve got the reach, and the connections, to take good care of your every real estate need.<br/><br/>Making you feel right at home.<br/><br/>Around the corner of the building is <a href=""http://www.quench-juicery.com/"" target=""_blank"">Quench Juicery</a>.",
Hingham Square,1,,42.24127,-70.89085,,86 South St,,CVS,CVS,,,,,Store Hours<br/><br/>Sunday		8AM–10PM<br/>Monday		7AM–10PM<br/>Tuesday		7AM–10PM<br/>Wednesday	7AM–10PM<br/>Thursday	7AM–10PM<br/>Friday		7AM–10PM<br/>Saturday	7AM–10PM,https://www.cvs.com/store-locator/hingham-ma-pharmacies/86-south-street-hingham-ma-02043/storeid=1953?WT.mc_id=LS_GOOGLE_FS_1953
Hingham Square,1,,42.24289,-70.88757,,82 North St,,Irish Eyes,Photos,,,,,"Serving Southeastern MA: South Shore, Greater Boston, & beyond.",https://www.irisheyesphotography.com/
North End,1,,42.36505,-71.053,,379 Hanover St,,Strega,,,,,,"<div style=""text-align:left;""><strong>ULTIMATE DINING EXPERIENCE LIKE NO OTHER</strong><br/><br/>Strega is famous for its dramatic decor, celebrity clientele, unmatched hospitality, and most of all, the unforgettable Italian cuisine. It’s also notorious for being one of the most difficult restaurants in Boston in which to get a seat, and has been hailed as having “Boston’s Most Coveted Table Reservation”. But what is it about this small, charming restaurant that makes it the most in-demand spot in the city night-after-night, year-after-year?<br/><br/>The Strega phenomenon exploded in 2003. Local customers filled its tables with such regularity that local and nation media had no choice but to take notice. Today, stars such as Justin Timberlake, Lebron James, Lorraine Bracco, Kate Hudson, Vincent Pastore, Diddy, John Mayer and many others call Strega their home when visiting Boston.</div>",https://stregabynickvarano.com/
Hingham Harbor,1,,42.24477,-70.88429,,4 North St,,Planter Hill Properties,Realtor,,,,,"<strong>About</strong><br/><br/>
Real estate agents, Aaron Cutler, Jeff Cutler, Cindy Swartwood and Henry DuLaurence are based in the 4 North Street office. They bring an expertise to the firm by way of their skillsets, knowledge of the areas and connections to local governments and businesses. Combined, all four have well over 100 years in Hingham and the South Shore. They are your local brokerage.",https://www.facebook.com/planterhill/
Hingham Shipyard,1,,42.2505344,-70.9233914,,6 Shipyard Dr #1f,,Petco,Pets,,,,,"<strong>ABOUT PETCO</strong><br/><br/>
Petco is a category-defining health and wellness company focused on improving the lives of pets, pet parents and our own Petco partners.<br/><br/>
<strong>Blazing the Trail</strong><br/>
Since our founding in 1965, we’ve been trailblazing new standards in pet care, delivering comprehensive wellness solutions through our products and services, and creating communities that deepen the pet-pet parent bond.<br/><br/>
<strong>Operations</strong><br/>
We operate more than 1,500 Petco locations across the U.S., Mexico and Puerto Rico, including a growing network of more than 100 in-store veterinary hospitals, and offer a complete online resource for pet health and wellness at petco.com and on the Petco app.<br/><br/>
<strong>Petco Love</strong><br/>
Since its founding in 1999 as the Petco Foundation, Petco Love — an independent nonprofit organization — has empowered over 4,000 animal welfare organizations by investing nearly $375 million in adoption and other lifesaving efforts. In tandem with Petco Love, we work with and support thousands of local animal welfare organizations across the country, and have helped find loving homes for nearly 7 million animals through in-store adoption events.",https://stores.petco.com/ma/hingham/pet-supplies-hingham-ma-5708.html
Beacon Hill,1,,42.3569,-71.06997,,30 Charles St,,Cobblestones,,,,,,"<div style=""text-align:center;""><strong>IT'S A PERFECT TIME FOR SOUP!!</strong><br/><br/>Seven soups made daily here in our kitchen.<br/>Local delivery available!<br/><br/>Call us for a daily list.</div>",https://www.cobblestonesboston.com/
Hingham Square,1,,42.24229,-70.8897,,142 North St,,La Petite Maison,Boutique,,,,,"La Petite Maison is a French inspired boutique offering the finest in imported linens, antiques and decorative accessories for the home. The Proprietor travels to France to shop the markets for unusual antique and decorative objects. The staff at La Petite Maison prides themselves in one-on-one personalized service and design consultation.<br/><br/>As soon as you walk into La Petite Maison, the scent of French soaps fill the air. The sounds of French music will bring you back to Paris. Your eyes delight in the inspiring displays throughout the shop. Customers frequently remark on the loveliness and ambiance the shop evokes. A visit will inspire you to return again and again.",https://www.lapetitemaison.us/
Hull,1,,42.2748,-70.8615,,45 Hull Shore Dr,,Nantasket Beach Resort,,,,,,"<div style='text-align:center;'><strong>Welcome To Nantasket Beach Resort</strong><br/>Boston's South Shore<br/><br/>A Charming New England Hotel On The Hull, MA Waterfront<br/><br/>With a prime location directly overlooking Nantasket Beach on the South Shore, we are the closest full service beachfront hotel to Boston.  Explore this beachfront community or the adjacent towns of Hingham and Cohasset.   All guest rooms feature a fireplace and most have balconies with ocean views.<br/><br/>For memorable meetings and weddings, the resort boasts two timeless oceanfront ballrooms with unforgettable views of the Atlantic and three of Boston's historic lighthouses. Treat yourself to a soak in the heated swimming pool and hot tub, located in a sprawling glass-enclosed space with a retractable roof, or a workout in the well-equipped fitness center. Set out to explore attractions around Hull, Hingham, and Cohasset, including the stunning nature trails at Wompatuck State Park and World's End.  Experience authentic New England at Nantasket Beach Resort.</div>",https://www.nantasketbeachresort.com/?utm_source=google
Fearing Farm HM,1,,42.24391,-70.89325,Gable-End,38 Lincoln St,,Enos Loring,Loring,"2,922,800",1868,3936,0.54,,https://www.zillow.com/homedetails/30-Lincoln-St-Hingham-MA-02043/56639198_zpid/
Fearing Farm HM,1,,42.24525,-70.89521,Colonial,66 Lincoln St,,David Lincoln,Lincoln,"2,925,000",1737,5350,0.87,,https://www.zillow.com/homedetails/66-Lincoln-St-Hingham-MA-02043/56638295_zpid/
Cohasset,1,,42.2422,-70.8036,,23 N Main St,,First Parish Meeting House,Meeting,,,,,"<div style=""text-align:left;""><strong>About us</strong><br/><br/>We are brave, curious, and compassionate thinkers and doers. We are diverse in faith, ethnicity, history and spirituality, but aligned in our desire to make a difference for the good. We have a track record of standing on the side of love, justice, and peace.<br/><br/>We have radical roots and a history as self-motivated spiritual people: we think for ourselves and recognize that life experience influences our beliefs more than anything.<br/><br/>We need not think alike to love alike. We are people of many beliefs and backgrounds: people with a religious background, people with none, people who believe in a God, people who don’t, and people who let the mystery be.<br/><br/>We are Unitarian Universalist and Buddhist, Christian, Hindu, Humanist, Jewish, Muslim, Pagan, atheist and agnostic, believers in God, and more.<br/><br/>On the forefront of Lesbian, Gay, Bisexual, Transgender, and Queer inclusion for more than 40 years, we are people of all sexual orientations and gender identities.<br/><br/>We welcome you: your whole self, with all your truths and your doubts, your worries and your hopes. Join us on this extraordinary adventure of faith. Get involved!",https://www.firstparishcohasset.org/?doing_wp_cron=1654113830.6407990455627441406250
Reeds Corner,6,,42.2190637,-70.7972225,,828 Chief Justice Cushing Hwy,,Aubuchon Hardware,Hardware,,,,,"<div style='text-align:center;font-size:18px;font-weight:900;'>Village Hardware</div><br/><div style='text-align:left;font-size:12px;font-weight:500;'>Established in 1979 and nestled in the picturesque heart of suburban Alexandria, Virginia, Village Hardware is a store rooted in excellence and committed to customer service. The original owner, Larry Gray, learned the tools of the trade as a young man working with his father in construction. He took that invaluable knowledge and applied it to running his business. In April of 2021 the Aubuchon Company completed the purchase of Village Hardware, allowing Larry and his wife Janet the retirement they had been looking forward to. In a testament to the golden age of mom and pop stores, “the Village”, as it is affectionately referred to, is not just a regular hardware store, built on family traditions - we provide a unique experience, no matter what the project is and we’re here to help 7-days a week.</div>",https://www.hardwarestore.com/aubuchon/cohasset-ma
Cohasset,1,,42.24075,-70.80123,,4 Elm St,,Cohasset Maritime Museum,Museum,,,,,"The Maritime Museum, built for use as a ship chandlery for the Bates fishing business, now features maritime artifacts that reflect Cohasset's long seafaring history. Originally located at the harbor, the building was given to the Society by Jessie and William Cox and moved to its present location on Elm Street in 1957.",https://www.cohassethistoricalsociety.org/maritime-museum
North End,1,,42.3641,-71.05365,,2 Prince St,,Isabella's,,,,,,"<div style=""text-align:left;"">Serving lunch & dinner daily (reservations suggested)  •  11am to 10:30pm.</div>",http://www.isabellasboston.com/
North End,1,,42.3636,-71.0548,,264 Hanover St,,Quattro,,,,,,"<div style=""text-align:left;"">Relaxed spot with marble tables & huge windows serves Neapolitan pizzas & other Italian fare.</div>",https://www.quattro-boston.com/
Reeds Corner,1,,42.22101,-70.80077,,790 Chief Justice Cushing Hwy,,Cohasset Jewelers,Jeweler,,,,,"<div style='text-align:center;font-size:18px;font-weight:900;'>Our Simple Philosophy</div><br/><div style='text-align:left;font-size:12px;font-weight:500;'>Provide the best quality jewelry, watches and gifts at conservative prices. You won’t find a better value on fine quality jewelry and diamonds, Guaranteed!<br/><br/>Our mission is to constantly provide “Surprisingly Affordable, Quality Jewelry” to our customers while providing an unparalleled level of service.<br/><br/>We manufacture much of our jewelry right in our store in Cohasset, effectively cutting out the middleman and passing the savings on to our customers.<br/><br/>This approach allows us to control the craftsmanship of our jewelry. Our quality is clear, you can see with your eyes and feel in your hands.</div>",https://www.cohassetjewelers.com/
Hingham Center HM,1,,42.23389,-70.87904,Cape Cod,17 Leavitt St,,Levi Burr,Burr,"587,100",1790,2169,0.36,"Born on 1 June 1757 in Hingham, died on 21 March 1839 in Hingham. Son of John Burr II, and Emma Cushing.<br/><br/>He married Susanna Burr and later Mary Burr. He had 6 children.",https://www.zillow.com/homedetails/17-Leavitt-St-Hingham-MA-02043/56640070_zpid/
North End,1,,42.36478,-71.05535,,125 Salem St,,Libertine,,,,,,"<div style=""text-align:left;"">Laid-back Italian restaurant & bar offering homestyle cooking, cocktails & a late-night menu.</div>",http://libertinenorthend.com/
Hingham Square HM,1,,42.24109,-70.89458,Queen Anne,154 South St,,Howard Hersey,Hersey,"1,811,200",1889,3012,0.55,,https://www.zillow.com/homedetails/154-South-St-Hingham-MA-02043/56639129_zpid/
Hingham Square HM,1,,42.24083,-70.88715,Colonial,93 Main St,,Dr. Josiah Leavitt,Leavitt,"4,204,200",1774,7101,0.52,"Dr. Leavitt was for a number of years a practicing physician in Hingham.<br/><br/>He also was somewhat of a mechanical genius, and of an inventive turn of mind. Prior to the war of the Revolution he constructed a clock for the old meeting-house, ""the dial of which appeared in the dormer-window on the southwesterly slope of the roof, and was thus visible to the public.""<br/><br/>Tradition says that he built a church organ and set it up in the old meeting-house, where it stood for a while, and that it was eventually sold to go to Portland, Me.<br/><br/>I find no record, however, to verify this tradition; but that several years later he was a professional organ builder at Boston is certain.<br/><br/>In 1773 he built and resided in the house now owned and occupied by heirs of George Bassett on Main, corner of Elm Street.<br/><br/>This dwelling he sold in 1777 to Joseph Blake, and soon after removed to Boston. The Selectmen's Book of Records, Vol. II., show that as a physician he received a fair share of the patronage of the town, as no doubt he did from the public. His inventive perceptions, however, led him to seek other fields of employment. He was the son of Hezekiah and Grace (Hatch) Leavitt, and was born in Hingham Oct. 21, 1744. The Christian name of his wife was Azubah. She died at Boston Nov., 1803, aged 40 years. He died March, 1804, aged 59 years.<br/><br/>
The Hingham Journal prints ""enlightening"" news about another owner of this house.<br/><br/>
<i>""Mr. Geo. Bassett, the stable keeper has been shedding light upon his neighborhood by putting up the first street lamp in town. It is located on the corner of Main & Elm Streets & its brilliant beams shed a cheerful light which is see for quite a distance.<br/><br/>
We learn that several residents are so well pleased with the project that they intend to follow his lead, & it is hoped that others will be inclined to extend a good work so nobly begun.<br/><br/>
We understand that after the first outlay of putting up the arrangements, the expense of maintaining the light is but trifling. Every one, we think, will agree with us, that nothing looks more cheerful, or condues more to public safety than a street well lighted on a dark night.""</i><br/><br/>
Among the owners of this house were Joseph Blake Jr. (1781), Joshua Barker (1790), George Bassett (1857), Heirs of George Bassett (1890), George P. Cushing (1904), Harriet A. Cushing (1931), Hingham Trust Company Trustees (1940), John T. & Lee M. Corwin (1962), Lee M. Corwin (1967), Robert L. Palmer (1974). 
",https://www.redfin.com/MA/Hingham/93-Main-St-02043/home/16364525
North End,1,,42.36394,-71.05543,,105 Salem St,,Polcari's Coffee,,,,,,"<div style=""text-align:left;"">Anthony Polcari started Polcari’s Coffee in 1932. The coffee shop was a dream of his since he came over from Italy at the age of twenty. Working as a pocket-maker at a local tailor’s shop, Mr. Polcari saved up to open his own coffee store on Salem St. in 1932. Polcari’s Coffee was a family owned business. Mr. Polcari’s wife Rose and children (Ralph, Anthony and Marie) all worked in the store, helping their father achieve his dream. Ralph soon took over the store from his father. Ralph did not have a son or daughter to work in the business with him. For a guy that didn’t have any children, Ralph created a family. Polcari’s Coffee was his family and livelihood.<br/><br/>You have to see this great <a href=""https://www.youtube.com/watch?v=85frPpSB5Mg"" target=""_blank"">video</a>!</div>",http://www.polcariscoffee.com/
Marshfield,1,,42.09247,-70.648,,327 Ocean St,,Union Chapel,Church,,,,,"<div style=""text-align:center;""><strong>HISTORY OF THE BRANT ROCK UNION CHAPEL</strong><br/><br/>Let history record that a multitude of people, through the years, have loved Brant Rock Union Chapel. Some of them attended summer Sunday services, most did not. But for nearly a century the stone Chapel, with its spacious lawn, has been there when the community needed it – and for more than a century the community has been there when the Chapel was in need.<br/><br/>Three years after it was built, the sturdy fieldstone building served as a refuge for the women and children during the Storm of 1898. They had first taken shelter in the Coast Guard station across the street, but as it became damaged and flooded they were taken on a rope safety line to the Chapel.<br/><br/>Go to the <a href=""https://www.facebook.com/BRUC327Ocean/"">Union Chapel Facebook</a> page for more fascinating history!</div>",
